Localidades,Municipio
Los Portales,Arucas
Mirador de los Portales,Arucas
Montaña de Arucas,Arucas
Puente de Arucas,Arucas
Quintanilla,Arucas
San Andrés,Arucas
San Francisco Javier,Arucas
San Gregorio,Arucas
Santa Flora,Arucas
Santidad Alta,Arucas
Santidad Baja,Arucas
Tanasio,Arucas
Tinocas,Arucas
Trapiche,Arucas
Trasmontaña,Arucas
Urbanización San Francisco Javier,Arucas
Virgen del Pino,Arucas
Visvique,Arucas
Betancuria,Betancuria
Valle de Santa Inés,Betancuria
Vega de Río Palmas,Betancuria
Buenlugar,Firgas
Cambalud,Firgas
Casablanca,Firgas
El Cortijo,Firgas
El Lomito,Firgas
El Risco,Firgas
Firgas,Firgas
Itara,Firgas
La Caldera,Firgas
La Cruz,Firgas
La Palmilla,Firgas
Las Pellas,Firgas
Lomo Quintanilla,Firgas
Los Barranquillos,Firgas
Los Dolores,Firgas
Los Menores,Firgas
Los Rosales,Firgas
Padilla,Firgas
Trapiche,Firgas
Anzofe y el Salón,Gáldar
Barranco Hondo de Abajo,Gáldar
Barranco Hondo de Arriba,Gáldar
Barranquillo el Vino,Gáldar
Barrial,Gáldar
Barrio los Condenados,Gáldar
Buenavista y los Silos,Gáldar
Caideros,Gáldar
Caleta de Arriba,Gáldar
Cueva de los Cruces,Gáldar
El Agazal,Gáldar
El Agujero,Gáldar
El Corralete,Gáldar
El Roque,Gáldar
Fagajesto,Gáldar
Gáldar,Gáldar
Hoya de Pineda,Gáldar
Juncalillo,Gáldar
La Degollada,Gáldar
La Enconada,Gáldar
La Furnia,Gáldar
Las Cumbrecillas,Gáldar
Las Majadillas,Gáldar
Los Dos Roques,Gáldar
Los Llanos,Gáldar
Marmolejos,Gáldar
Nido Cuervo,Gáldar
Piso Firme,Gáldar
Puerto de Sardina,Gáldar
Punta de Gáldar,Gáldar
Quintanas Los,Gáldar
Rosas Las,Gáldar
San Isidro,Gáldar
Saucillo,Gáldar
Tegueste,Gáldar
Urbanización Faro Sardina,Gáldar
Arrieta,Haría
Charco del Palo,Haría
Guinate,Haría
Haría,Haría
Máguez,Haría
Mala,Haría
Órzola,Haría
Punta Mujeres,Haría
Tabayesco,Haría
Ye,Haría
Aguatona,Ingenio
Carrizal,Ingenio
El Burrero,Ingenio
El Carrión,Ingenio
El Sequero,Ingenio
Ingenio,Ingenio
Las Majoreras,Ingenio
Las Mejías,Ingenio
Las Puntillas,Ingenio
Lomo del Hospital,Ingenio
Mondragón,Ingenio
Pasadilla-Roque,Ingenio
Albercón,La Aldea de San Nicolás
Artejévez,La Aldea de San Nicolás
Castañeta,La Aldea de San Nicolás
Cercadillos,La Aldea de San Nicolás
El Cruce,La Aldea de San Nicolás
El Hoyo,La Aldea de San Nicolás
El Lomo,La Aldea de San Nicolás
El Pinillo,La Aldea de San Nicolás
El Ribanzo,La Aldea de San Nicolás
Jerez,La Aldea de San Nicolás
La Aldea de San Nicolás,La Aldea de San Nicolás
La Cardonera,La Aldea de San Nicolás
La Cruz,La Aldea de San Nicolás
Ladera del Palomar,La Aldea de San Nicolás
La Ladera,La Aldea de San Nicolás
La Playa,La Aldea de San Nicolás
Las Marciegas,La Aldea de San Nicolás
Las Rosas,La Aldea de San Nicolás
Las Tabladas,La Aldea de San Nicolás
Los Cardones,La Aldea de San Nicolás
Los Espinos,La Aldea de San Nicolás
Los Molinos,La Aldea de San Nicolás
Los Pasitos,La Aldea de San Nicolás
Mederos,La Aldea de San Nicolás
Molino de Agua,La Aldea de San Nicolás
Molino de Viento,La Aldea de San Nicolás
Tarahalillo,La Aldea de San Nicolás
Tasarte,La Aldea de San Nicolás
Tocodomán,La Aldea de San Nicolás
Caldereta,La Oliva
Corralejo,La Oliva
Corralejo Playa,La Oliva
El Cotillo,La Oliva
El Roque,La Oliva
Geafond,La Oliva
Lajares,La Oliva
La Oliva,La Oliva
Los Lagos,La Oliva
Parque Holandés,La Oliva
Tindaya,La Oliva
Vallebrón,La Oliva
Villaverde,La Oliva
Almatriche Alto,Las Palmas de Gran Canaria
Almatriche Bajo,Las Palmas de Gran Canaria
Campus Universitario,Las Palmas de Gran Canaria
Cañada Honda,Las Palmas de Gran Canaria
Casa Ayala,Las Palmas de Gran Canaria
Ciudad del Campo,Las Palmas de Gran Canaria
Costa Ayala,Las Palmas de Gran Canaria
Cruz del Ovejero,Las Palmas de Gran Canaria
Cuesta Ramón,Las Palmas de Gran Canaria
Cuevas Blancas,Las Palmas de Gran Canaria
Dragonal Alto,Las Palmas de Gran Canaria
Dragonal Bajo,Las Palmas de Gran Canaria
El Fondillo,Las Palmas de Gran Canaria
El Pintor,Las Palmas de Gran Canaria
El Román,Las Palmas de Gran Canaria
El Roque,Las Palmas de Gran Canaria
El Secadero,Las Palmas de Gran Canaria
El Toscón,Las Palmas de Gran Canaria
El Zardo,Las Palmas de Gran Canaria
Hoya Andrea,Las Palmas de Gran Canaria
Isla Perdida,Las Palmas de Gran Canaria
Jinámar,Las Palmas de Gran Canaria
La Calzada,Las Palmas de Gran Canaria
La Cantera,Las Palmas de Gran Canaria
La Cruz,Las Palmas de Gran Canaria
La Data,Las Palmas de Gran Canaria
Ladera Alta,Las Palmas de Gran Canaria
La Galera,Las Palmas de Gran Canaria
La Milagrosa,Las Palmas de Gran Canaria
La Montañeta,Las Palmas de Gran Canaria
La Palma,Las Palmas de Gran Canaria
Las Cuevas,Las Palmas de Gran Canaria
Las Majadillas,Las Palmas de Gran Canaria
Las Mesas,Las Palmas de Gran Canaria
Las Palmas de Gran Canaria,Las Palmas de Gran Canaria
Las Perreras,Las Palmas de Gran Canaria
La Suerte,Las Palmas de Gran Canaria
Llano de las Nieves,Las Palmas de Gran Canaria
Llanos de la Barrera,Las Palmas de Gran Canaria
Llanos de Maria Rivera,Las Palmas de Gran Canaria
Lomo Blanco,Las Palmas de Gran Canaria
Lomo Corcobado,Las Palmas de Gran Canaria
Lomo de Enmedio,Las Palmas de Gran Canaria
Lomo el Sabinal,Las Palmas de Gran Canaria
Lomo los Frailes,Las Palmas de Gran Canaria
Lomo Verdejo,Las Palmas de Gran Canaria
Los Giles,Las Palmas de Gran Canaria
Los Hoyos,Las Palmas de Gran Canaria
Marzagán,Las Palmas de Gran Canaria
Masapez,Las Palmas de Gran Canaria
Monteluz,Las Palmas de Gran Canaria
Montequemado,Las Palmas de Gran Canaria
Pico Viento,Las Palmas de Gran Canaria
Piletas,Las Palmas de Gran Canaria
Risco Negro,Las Palmas de Gran Canaria
Salto del Negro,Las Palmas de Gran Canaria
San Francisco de Paula,Las Palmas de Gran Canaria
San Jose del Alamo,Las Palmas de Gran Canaria
San Lorenzo,Las Palmas de Gran Canaria
Santa Margarita,Las Palmas de Gran Canaria
Siete Puertas,Las Palmas de Gran Canaria
Tafira Alta,Las Palmas de Gran Canaria
Tafira Baja,Las Palmas de Gran Canaria
Tamaraceite,Las Palmas de Gran Canaria
Tenoya,Las Palmas de Gran Canaria
Zurbarán,Las Palmas de Gran Canaria
Aquamarina,Mogán
Arguineguín,Mogán
Barranco del Cura,Mogán
Barranquillo Andrés,Mogán
Canarios I,Mogán
Casas Blancas,Mogán
Casas de Veneguera,Mogán
Cornisa del Suroeste,Mogán
El Caidero,Mogán
El Cercado,Mogán
El Chaparral,Mogán
El Guincho,Mogán
El Hornillo,Mogán
El Horno,Mogán
El Molino de Viento,Mogán
El Motor Grande,Mogán
El Sao,Mogán
El Vento,Mogán
La Charca,Mogán
La Humbridilla,Mogán
La Playa del Cura,Mogán
La Playa de Tauro,Mogán
Las Casillas,Mogán
Las Filipinas,Mogán
La Vistilla,Mogán
Lomoquiebre,Mogán
Los Almácigos,Mogán
Los Caideros,Mogán
Los Canarios,Mogán
Los Llanos,Mogán
Los Navarros,Mogán
Los Palmitos,Mogán
Los Peñones,Mogán
Mogán,Mogán
Patalavaca,Mogán
Platero,Mogán
Playa de Mogán,Mogán
Pueblo de Tauro,Mogán
Puerto Rico,Mogán
Soria,Mogán
Taurito,Mogán
Cabo Verde,Moya
Carreras,Moya
Carretería,Moya
El Altillo,Moya
El Brecito,Moya
El Pagador,Moya
El Palo,Moya
El Roque,Moya
Fontanales,Moya
Frontón,Moya
La Cordillera,Moya
Lance,Moya
Lomo Blanco,Moya
Los Dragos,Moya
Los Toscales Parte Alta,Moya
Los Toscales Parte Baja,Moya
Moya,Moya
Palmito,Moya
San Fernando,Moya
Trujillo,Moya
Vínculo de Solís,Moya
Ajuy,Pájara
Cardón,Pájara
Costa Calma (incl. Urbanización Cañada del Río),Pájara
Esquinzo,Pájara
La Lajita,Pájara
Morro Jable,Pájara
Pájara,Pájara
Solana Matorral,Pájara
Toto,Pájara
Urbanización la Pared,Pájara
Urbanización las Gaviotas,Pájara
Casillas del Ángel,Puerto del Rosario
Colonia Rural García Escamez,Puerto del Rosario
El Matorral,Puerto del Rosario
El Time,Puerto del Rosario
Guisguey,Puerto del Rosario
La Ampuyenta,Puerto del Rosario
La Asomada,Puerto del Rosario
La Matilla,Puerto del Rosario
Llanos de la Concepción,Puerto del Rosario
Los Estancos,Puerto del Rosario
Puerto del Rosario,Puerto del Rosario
Puerto Lajas,Puerto del Rosario
Tefía,Puerto del Rosario
Tesjuates,Puerto del Rosario
Tetir,Puerto del Rosario
Aeropuerto,San Bartolomé
El Islote,San Bartolomé
Güime,San Bartolomé
Montaña Blanca,San Bartolomé
Playa Honda,San Bartolomé
San Bartolomé,San Bartolomé
Aldea Blanca,San Bartolomé de Tirajana
Ayacata,San Bartolomé de Tirajana
Ayagaures,San Bartolomé de Tirajana
Bahía Feliz,San Bartolomé de Tirajana
Calderín,San Bartolomé de Tirajana
Campo Internacional,San Bartolomé de Tirajana
Casas Blancas,San Bartolomé de Tirajana
Castillo del Romeral,San Bartolomé de Tirajana
Cercados de Araña,San Bartolomé de Tirajana
Cercados de Espino,San Bartolomé de Tirajana
El Matorral,San Bartolomé de Tirajana
El Salobre,San Bartolomé de Tirajana
El Tablero,San Bartolomé de Tirajana
Fataga,San Bartolomé de Tirajana
Juan Grande,San Bartolomé de Tirajana
Las Meloneras,San Bartolomé de Tirajana
Las Salinas del Matorral,San Bartolomé de Tirajana
Lomo de Pedro Afonso,San Bartolomé de Tirajana
Lomo de Taidía,San Bartolomé de Tirajana
Lomo Gordo,San Bartolomé de Tirajana
Lomo Perera,San Bartolomé de Tirajana
Montaña la Data,San Bartolomé de Tirajana
Monteleón,San Bartolomé de Tirajana
Pasito Blanco,San Bartolomé de Tirajana
Pedrazo Alto,San Bartolomé de Tirajana
Pedrazo Bajo,San Bartolomé de Tirajana
Playa del Águila,San Bartolomé de Tirajana
Playa del Inglés,San Bartolomé de Tirajana
Risco Blanco,San Bartolomé de Tirajana
San Agustín,San Bartolomé de Tirajana
San Bartolomé de Tirajana,San Bartolomé de Tirajana
San Fernando,San Bartolomé de Tirajana
Santa Águeda,San Bartolomé de Tirajana
Sonneland,San Bartolomé de Tirajana
Cruce la Atalaya,Santa Brígida
Cuesta de la Grama,Santa Brígida
Cuesta el Reventón,Santa Brígida
Cuevas del Guanche,Santa Brígida
El Arco,Santa Brígida
El Castaño Alto,Santa Brígida
El Castaño Bajo,Santa Brígida
El Colegio,Santa Brígida
El Estanco,Santa Brígida
El Gamonal Alto,Santa Brígida
El Gamonal Bajo,Santa Brígida
El Lomo Espino,Santa Brígida
El Lugarejo,Santa Brígida
El Madroñal,Santa Brígida
El Mocanal,Santa Brígida
El Molino,Santa Brígida
El Palmarejo,Santa Brígida
El Palmeral,Santa Brígida
El Paraíso,Santa Brígida
El Raso,Santa Brígida
El Santísimo,Santa Brígida
El Tejar,Santa Brígida
El Vinco,Santa Brígida
Fuente los Berros,Santa Brígida
Gargujo,Santa Brígida
Gran Parada,Santa Brígida
Hoya Bravo,Santa Brígida
La Angostura,Santa Brígida
La Atalaya,Santa Brígida
La Capellanía,Santa Brígida
La Concepción,Santa Brígida
La Montañeta,Santa Brígida
Las Arenillas,Santa Brígida
Las Brisas,Santa Brígida
Las Casas,Santa Brígida
Las Casillas,Santa Brígida
Las Goteras,Santa Brígida
Las Haciendas,Santa Brígida
Las Meleguinas,Santa Brígida
Llanos de Maria Ribera,Santa Brígida
Lomo los Ajos,Santa Brígida
Los Alvarados,Santa Brígida
Los Lentiscos,Santa Brígida
Los Lentiscos,Santa Brígida
Los Olivos,Santa Brígida
Los Silos,Santa Brígida
Los Toscanes,Santa Brígida
Los Veroles,Santa Brígida
Montebravo,Santa Brígida
Monte Lentiscal,Santa Brígida
Pino Santo Alto,Santa Brígida
Pino Santo Bajo,Santa Brígida
Plaza Doña Luisa,Santa Brígida
Portada Verde,Santa Brígida
San José de las Vegas,Santa Brígida
Santa Brígida,Santa Brígida
Balos I,Santa Lucía de Tirajana
Balos II,Santa Lucía de Tirajana
Camino la Madera,Santa Lucía de Tirajana
Casa Pastores,Santa Lucía de Tirajana
El Canario,Santa Lucía de Tirajana
El Cruce I,Santa Lucía de Tirajana
El Cruce II,Santa Lucía de Tirajana
El Doctoral,Santa Lucía de Tirajana
El Ingenio,Santa Lucía de Tirajana
El Morisco,Santa Lucía de Tirajana
El Parralillo,Santa Lucía de Tirajana
El Valle,Santa Lucía de Tirajana
Hoya Pavon,Santa Lucía de Tirajana
La Blanca,Santa Lucía de Tirajana
La Cerruda,Santa Lucía de Tirajana
La Paredilla I,Santa Lucía de Tirajana
La Paredilla II,Santa Lucía de Tirajana
La Unión,Santa Lucía de Tirajana
La Vereda,Santa Lucía de Tirajana
Los Llanos,Santa Lucía de Tirajana
Orilla Baja,Santa Lucía de Tirajana
Pozo Izquierdo,Santa Lucía de Tirajana
Rosiana Alta,Santa Lucía de Tirajana
Rosiana Baja,Santa Lucía de Tirajana
San Pedro Mártir I,Santa Lucía de Tirajana
San Pedro Mártir II,Santa Lucía de Tirajana
San Rafael,Santa Lucía de Tirajana
Santa Lucía de Tirajana,Santa Lucía de Tirajana
Sardina,Santa Lucía de Tirajana
Vecindario,Santa Lucía de Tirajana
Anzo,Santa María de Guía de Gran Canaria
Becerril,Santa María de Guía de Gran Canaria
Caleta de Soria,Santa María de Guía de Gran Canaria
Carretera Moya Palmital,Santa María de Guía de Gran Canaria
Casas de Aguilar,Santa María de Guía de Gran Canaria
Cuesta de Caraballo,Santa María de Guía de Gran Canaria
Desaguaderos,Santa María de Guía de Gran Canaria
Doñana,Santa María de Guía de Gran Canaria
El Calabozo,Santa María de Guía de Gran Canaria
El Gallego,Santa María de Guía de Gran Canaria
El Palmital,Santa María de Guía de Gran Canaria
Farailaga,Santa María de Guía de Gran Canaria
Hoya del Pedregal,Santa María de Guía de Gran Canaria
Hoya de Pineda,Santa María de Guía de Gran Canaria
La Atalaya,Santa María de Guía de Gran Canaria
La Cañada,Santa María de Guía de Gran Canaria
La Dehesa,Santa María de Guía de Gran Canaria
Las Boticarias,Santa María de Guía de Gran Canaria
La Suerte,Santa María de Guía de Gran Canaria
Llanos de Parra,Santa María de Guía de Gran Canaria
Lomo Betancort,Santa María de Guía de Gran Canaria
Lomo las Azucenas,Santa María de Guía de Gran Canaria
Lomo los Martínez,Santa María de Guía de Gran Canaria
Marente,Santa María de Guía de Gran Canaria
Mondragones,Santa María de Guía de Gran Canaria
Montaña Alta,Santa María de Guía de Gran Canaria
Paso María de los Santos,Santa María de Guía de Gran Canaria
San Blas,Santa María de Guía de Gran Canaria
San Felipe,Santa María de Guía de Gran Canaria
San Juan,Santa María de Guía de Gran Canaria
Santa Cristina,Santa María de Guía de Gran Canaria
Santa María de Guía de Gran Canaria,Santa María de Guía de Gran Canaria
Tres Cruces,Santa María de Guía de Gran Canaria
Vergara,Santa María de Guía de Gran Canaria
Caleta de Caballo,Teguise
Caleta de Famara,Teguise
Caleta de Sebo,Teguise
Charco del Palo,Teguise
Costa Teguise,Teguise
El Mojón,Teguise
Famara,Teguise
Guatiza,Teguise
Las Caletas,Teguise
Los Cocoteros,Teguise
Los Valles,Teguise
Mozaga,Teguise
Muñique,Teguise
Nazaret,Teguise
Soo,Teguise
Tahíche,Teguise
Tao,Teguise
Teguise,Teguise
Teseguite,Teguise
Tiagua,Teguise
Lomo de los Santos,Tejeda
Tejeda,Tejeda
Balcón de Telde,Telde
Callejón del Castillo,Telde
Cañada de los Perros,Telde
Casas Nuevas,Telde
Caserones Bajos,Telde
Cazadores,Telde
Cendro,Telde
Clavellinas,Telde
Cuatro Puertas,Telde
El Calero Alto,Telde
El Calero Bajo,Telde
El Caracol,Telde
El Goro,Telde
El Palmital,Telde
Gando,Telde
Garcia Ruiz,Telde
Hoya Aguedita,Telde
Hoya Pozuelo,Telde
Jerez,Telde
Jinamar,Telde
La Breña,Telde
La Estrella,Telde
La Gavia,Telde
La Higuera Canaria,Telde
La Majadilla,Telde
La Pardilla,Telde
La Primavera,Telde
Las Goteras,Telde
Las Huesas,Telde
Las Medianías,Telde
La Solana,Telde
Las Remudas,Telde
La Viña,Telde
Lomo Blanco,Telde
Lomo Bristol,Telde
Lomo de la Herradura,Telde
Lomo del Cementerio,Telde
Lomo los Frailes,Telde
Lomo Magullo,Telde
Lomo Sala,Telde
Los Arenales,Telde
Los Caserones,Telde
Los Hornos del Rey,Telde
Los Melones,Telde
Marpequeña,Telde
Melenara,Telde
Montaña de las Palmas,Telde
Montaña las Huesas,Telde
Montañeta del Calero,Telde
Ojos de Garza,Telde
Piletillas,Telde
Playa del Hombre,Telde
Playa de Salinetas,Telde
San Antonio,Telde
San Borondón,Telde
San Isidro,Telde
San José de las Longueras,Telde
Taliarte,Telde
Tara,Telde
Telde,Telde
Valle de Casares,Telde
Valle de Jinámar,Telde
Valle de los Nueve Alto,Telde
Valle de los Nueve Bajo,Telde
Barranco del Pino,Teror
Barranco Zapatero,Teror
Barrio del Pino,Teror
Buenavista,Teror
Degollada,Teror
El Álamo,Teror
El Chorrito,Teror
El Escobonal,Teror
El Faro,Teror
El Hornillo,Teror
El Hoyo,Teror
El Lomo,Teror
El Rincón,Teror
El Secuestro,Teror
Espartero,Teror
Guanchía,Teror
Huertas del Palmar,Teror
La Cuesta,Teror
La Peña,Teror
Las Paredes,Teror
Las Rosadas,Teror
Las Toscas,Teror
Laurelar,Teror
Llanos de Arévalo,Teror
Lo Blanco,Teror
Lomo Cobo,Teror
Lomontero,Teror
Los Corrales,Teror
Los Llanos,Teror
Masape,Teror
Miraflor,Teror
Mujica,Teror
Ojero,Teror
Pinar de Ojeda,Teror
Sagrado Corazón,Teror
San Isidro,Teror
San José del Álamo,Teror
San Matías,Teror
Siete Puertas,Teror
Teror,Teror
Conil,Tías
La Asomada,Tías
Mácher,Tías
Masdache,Tías
Puerto del Carmen,Tías
Tías,Tías
Vega de Tegoyo,Tías
El Cuchillo,Tinajo
La Santa,Tinajo
La Vegueta,Tinajo
Mancha Blanca,Tinajo
Tiguaton,Tinajo
Tinajo,Tinajo
Yuco,Tinajo
Altavista,Tuineje
Barrio de Panchito Ramos,Tuineje
Giniginámar,Tuineje
Gran Tarajal,Tuineje
Juan Gopar,Tuineje
Las Casitas,Tuineje
Las Playitas,Tuineje
Llano Florido,Tuineje
Puerto Azul,Tuineje
Tarajalejo,Tuineje
Teguitar,Tuineje
Tesejerague,Tuineje
Tiscamanita,Tuineje
Tuineje,Tuineje
Urbanización Giniginámar,Tuineje
Urbanización Herbania,Tuineje
Valle del Aceitun,Tuineje
El Lomo,Valleseco
Lanzarote,Valleseco
Valleseco,Valleseco
Valsendero,Valleseco
Zamora,Valleseco
Zumacal,Valleseco
Casas Blancas,Valsequillo de Gran Canaria
Colmenar Alto,Valsequillo de Gran Canaria
Cuevas Negras,Valsequillo de Gran Canaria
El Almendrillo,Valsequillo de Gran Canaria
El Helechal,Valsequillo de Gran Canaria
El Pedregal,Valsequillo de Gran Canaria
El Rincón,Valsequillo de Gran Canaria
El Roque,Valsequillo de Gran Canaria
El Troncón,Valsequillo de Gran Canaria
Era de Mota,Valsequillo de Gran Canaria
La Barrera,Valsequillo de Gran Canaria
La Cantera,Valsequillo de Gran Canaria
Las Casas,Valsequillo de Gran Canaria
Las Casillas,Valsequillo de Gran Canaria
Las Chozas,Valsequillo de Gran Canaria
La Suertecilla,Valsequillo de Gran Canaria
Las Vegas,Valsequillo de Gran Canaria
Lomitos de Correa,Valsequillo de Gran Canaria
Los Almendros,Valsequillo de Gran Canaria
Los Juagarzos,Valsequillo de Gran Canaria
Los Llanetes,Valsequillo de Gran Canaria
Los Pinos,Valsequillo de Gran Canaria
Luis Verde,Valsequillo de Gran Canaria
Majuelo,Valsequillo de Gran Canaria
Mirabala,Valsequillo de Gran Canaria
San Roque,Valsequillo de Gran Canaria
Tecén de Valsequillo,Valsequillo de Gran Canaria
Tenteniguada,Valsequillo de Gran Canaria
Valsequillo,Valsequillo de Gran Canaria
Acequia Marrero,Vega de San Mateo
Aríñez,Vega de San Mateo
Casa de la Cal,Vega de San Mateo
Corraletes,Vega de San Mateo
Cuatro Caminos,Vega de San Mateo
Cueva Grande,Vega de San Mateo
El Arenal,Vega de San Mateo
El Calero,Vega de San Mateo
El Chorrillo,Vega de San Mateo
El Estanco,Vega de San Mateo
El Hornillo,Vega de San Mateo
El Lomito,Vega de San Mateo
El Mesón,Vega de San Mateo
El Piquillo,Vega de San Mateo
El Portillo,Vega de San Mateo
El Solís,Vega de San Mateo
Hoya Navarra,Vega de San Mateo
Hoya Viciosa,Vega de San Mateo
La Asomada,Vega de San Mateo
La Bodeguilla,Vega de San Mateo
La Corte,Vega de San Mateo
La Higuera,Vega de San Mateo
La Lechucilla,Vega de San Mateo
La Lechuza,Vega de San Mateo
Las Cuevas,Vega de San Mateo
La Sequera,Vega de San Mateo
Las Lagunetas,Vega de San Mateo
Las Longueras,Vega de San Mateo
La Solana,Vega de San Mateo
La Solana,Vega de San Mateo
Las Pitas,Vega de San Mateo
Las Vegas,Vega de San Mateo
La Veguetilla,Vega de San Mateo
Lomo Aljorradero,Vega de San Mateo
Lomo Caballo,Vega de San Mateo
Lomo los Ingleses,Vega de San Mateo
Los Chorros,Vega de San Mateo
Pajaritos,Vega de San Mateo
San Francisco,Vega de San Mateo
Utiaca,Vega de San Mateo
Vega de San Mateo,Vega de San Mateo
Castillo del Águila,Yaiza
Cortijo Viejo,Yaiza
Costa de Papagayo,Yaiza
El Golfo,Yaiza
Femés,Yaiza
Las Breñas,Yaiza
Las Coloradas,Yaiza
Montaña Roja,Yaiza
Plan Parcial Playa Blanca,Yaiza
Playa Blanca,Yaiza
Playa Quemada,Yaiza
Puerto Calero,Yaiza
San Marcial de Rubicon,Yaiza
Uga,Yaiza
Yaiza,Yaiza
